ediba;abide;ediba$;
esira;arise;esira$;
eb;be;eb$;
raeb;bear;raeb$;
taeb;beat;taeb$;
emoceb;become;emoceb$;
llafeb;befall;llafeb$;
tegeb;beget;tegeb$;
nigeb;begin;nigeb$;
dloheb;behold;dloheb$;
dneb;bend;dneb$;
evaereb;bereave;evaereb$;
teseb;beset;teseb$;
hceeseb;beseech;hceeseb$;
edirtseb;bestride;edirtseb$;
teb;bet;teb$;
dnib;bind;dnib$;
deelb;bleed;deelb$;
wolb;blow;wolb$;
kaerb;break;kaerb$;
deerb;breed;deerb$;
gnirb;bring;gnirb$;
tsacdaorb;broadcast;tsacdaorb$;
taebworb;browbeat;taebworb$;
dliub;build;dliub$;
nrub;burn;nrub$;
tsrub;burst;tsrub$;
tsub;bust;tsub$;
yub;buy;yub$;
tsac;cast;tsac$;
hctac;catch;hctac$;
edihc;chide;edihc$;
esoohc;choose;esoohc$;
gnilc;cling;gnilc$;
ehtolc;clothe;ehtolc$;
emoc;come;emoc$;
tsoc;cost;tsoc$;
peerc;creep;peerc$;
worc;crow;worc$;
tuc;cut;tuc$;
erad;dare;erad$;
laed;deal;laed$;
gid;dig;gid$;
od;do;od$;
ward;draw;ward$;
maerd;dream;maerd$;
knird;drink;knird$;
evird;drive;evird$;
llewd;dwell;llewd$;
tae;eat;tae$;
llaf;fall;llaf$;
deef;feed;deef$;
leef;feel;leef$;
thgif;fight;thgif$;
dnif;find;dnif$;
eelf;flee;eelf$;
gnilf;fling;gnilf$;
ylf;fly;ylf$;
raebrof;forbear;raebrof$;
dibrof;forbid;dibrof$;
tsacerof;forecast;tsacerof$;
eeserof;foresee;eeserof$;
lleterof;foretell;lleterof$;
tegrof;forget;tegrof$;
evigrof;forgive;evigrof$;
ekasrof;forsake;ekasrof$;
ezeerf;freeze;ezeerf$;
evig;give;evig$;
dlig;gild;dlig$;
drig;gird;drig$;
evig;give;evig$;
og;go;og$;
dnirg;grind;dnirg$;
worg;grow;worg$;
evah;have;evah$;
raeh;hear;raeh$;
evaeh;heave;evaeh$;
weh;hew;weh$;
edih;hide;edih$;
tih;hit;tih$;
dloh;hold;dloh$;
truh;hurt;truh$;
tupni;input;tupni$;
tesni;inset;tesni$;
deerbretni;interbreed;deerbretni$;
evaewretni;interweave;evaewretni$;
peek;keep;peek$;
leenk;kneel;leenk$;
leenk;kneel;leenk$;
wonk;know;wonk$;
yal;lay;yal$;
dael;lead;dael$;
nael;lean;nael$;
pael;leap;pael$;
nrael;learn;nrael$;
nrael;learn;nrael$;
evael;leave;evael$;
dnel;lend;dnel$;
tel;let;tel$;
eil;lie;eil$;
thgil;light;thgil$;
esol;lose;esol$;
ekam;make;ekam$;
naem;mean;naem$;
teem;meet;teem$;
raehsim;mishear;raehsim$;
yalsim;mislay;yalsim$;
daelsim;mislead;daelsim$;
daersim;misread;daersim$;
llepssim;misspell;llepssim$;
ekatsim;mistake;ekatsim$;
dnatsrednusim;misunderstand;dnatsrednusim$;
tlem;melt;tlem$;
wom;mow;wom$;
dibtuo;outbid;dibtuo$;
odtuo;outdo;odtuo$;
worgtuo;outgrow;worgtuo$;
nurtuo;outrun;nurtuo$;
llestuo;outsell;llestuo$;
tsacrevo;overcast;tsacrevo$;
emocrevo;overcome;emocrevo$;
odrevo;overdo;odrevo$;
wardrevo;overdraw;wardrevo$;
taerevo;overeat;taerevo$;
gnahrevo;overhang;gnahrevo$;
raehrevo;overhear;raehrevo$;
yalrevo;overlay;yalrevo$;
eilrevo;overlie;eilrevo$;
yaprevo;overpay;yaprevo$;
edirrevo;override;edirrevo$;
nurrevo;overrun;nurrevo$;
eesrevo;oversee;eesrevo$;
llesrevo;oversell;llesrevo$;
toohsrevo;overshoot;toohsrevo$;
peelsrevo;oversleep;peelsrevo$;
ekatrevo;overtake;ekatrevo$;
worhtrevo;overthrow;worhtrevo$;
ewo;owe;ewo$;
ekatrap;partake;ekatrap$;
yap;pay;yap$;
tes-erp;pre-set;tes-erp$;
daerfoorp;proofread;daerfoorp$;
tup;put;tup$;
daer;read;daer$;
dniber;rebind;dniber$;
dliuber;rebuild;dliuber$;
tsacer;recast;tsacer$;
oder;redo;oder$;
yal-er;re-lay;yal-er$;
ekamer;remake;ekamer$;
dner;rend;dner$;
yaper;repay;yaper$;
nurer;rerun;nurer$;
lleser;resell;lleser$;
teser;reset;teser$;
knihter;rethink;knihter$;
dniwer;rewind;dniwer$;
etirwer;rewrite;etirwer$;
edir;ride;edir$;
gnir;ring;gnir$;
esir;rise;esir$;
nur;run;nur$;
was;saw;was$;
yas;say;yas$;
ees;see;ees$;
kees;seek;kees$;
lles;sell;lles$;
dnes;send;dnes$;
tes;set;tes$;
wes;sew;wes$;
ekahs;shake;ekahs$;
evahs;shave;evahs$;
raehs;shear;raehs$;
dehs;shed;dehs$;
tihs;shit;tihs$;
toohs;shoot;toohs$;
wohs;show;wohs$;
knirhs;shrink;knirhs$;
tuhs;shut;tuhs$;
gnis;sing;gnis$;
tis;sit;tis$;
yals;slay;yals$;
peels;sleep;peels$;
edils;slide;edils$;
gnils;sling;gnils$;
knils;slink;knils$;
tils;slit;tils$;
llems;smell;llems$;
etims;smite;etims$;
wos;sow;wos$;
kaeps;speak;kaeps$;
deeps;speed;deeps$;
lleps;spell;lleps$;
dneps;spend;dneps$;
llips;spill;llips$;
nips;spin;nips$;
tilps;split;tilps$;
liops;spoil;liops$;
deef-noops;spoon-feed;deef-noops$;
daerps;spread;daerps$;
dnats;stand;dnats$;
laets;steal;laets$;
kcits;stick;kcits$;
gnits;sting;gnits$;
werts;strew;werts$;
edirts;stride;edirts$;
gnirts;string;gnirts$;
raews;swear;raews$;
peews;sweep;peews$;
llews;swell;llews$;
miws;swim;miws$;
gniws;swing;gniws$;
ekat;take;ekat$;
hcaet;teach;hcaet$;
raet;tear;raet$;
llet;tell;llet$;
kniht;think;kniht$;
worht;throw;worht$;
tsurht;thrust;tsurht$;
dnibnu;unbind;dnibnu$;
ogrednu;undergo;ogrednu$;
eilrednu;underlie;eilrednu$;
dnatsrednu;understand;dnatsrednu$;
ekatrednu;undertake;ekatrednu$;
etirwrednu;underwrite;etirwrednu$;
odnu;undo;odnu$;
dniwnu;unwind;dniwnu$;
dlohpu;uphold;dlohpu$;
tespu;upset;tespu$;
ekaw;wake;ekaw$;
raew;wear;raew$;
dew;wed;dew$;
peew;weep;peew$;
niw;win;niw$;
dniw;wind;dniw$;
wardhtiw;withdraw;wardhtiw$;
dlohhtiw;withhold;dlohhtiw$;
dnatshtiw;withstand;dnatshtiw$;
gnirw;wring;gnirw$;
etirw;write;etirw$;
ekawa;awake;ekawa$;
etib;bite;etib$;
teg;get;teg$;
daelp;plead;daelp$;
evorp;prove;evorp$;
tiuq;quit;tiuq$;
dir;rid;dir$;
eohs;shoe;eohs$;
knirhs;shrink;knirhs$;
knis;sink;knis$;
kaens;sneak;kaens$;
tips;spit;tips$;
gnirps;spring;gnirps$;
knits;stink;knits$;
evirts;strive;evirts$;
taews;sweat;taews$;
evirht;thrive;evirht$;
daert;tread;daert$;
teba;abet;teba$;
rohba;abhor;rohba$;
tuba;abut;tuba$;
tiuqca;acquit;tiuqca$
timda;admit;timda$;
tolla;allot;tolla$;
lunna;annul;lunna$;
reva;aver;reva$;
tis-ybab;baby-sit,tis-ybab$;
batkcab;backtab;batkcab$;
gab;bag;gab$;
nab;ban;nab$;
rab;bar;rab$;
tab;bat;tab$;
livedeb;bedevil;livedeb$;
tifeb;befit;tifeb$;
toseb;besot;toseb$;
ritseb;bestir;ritseb$;
leveb;bevel;leveb$;
dib;bid;dib$;
balb;blab;balb$;
tolb;blot;tolb$;
rulb;blur;rulb$;
bob;bob;bob$;
gob;bog;gob$;
geltoob;bootleg;geltoob$;
partstoob;bootstrap;partstoob$;
garb;brag;garb$;
mirb;brim;mirb$;
dub;bud;dub$;
gub;bug;gub$;
tihsllub;bullshit;tihsllub$;
mub;bum;mub$;
sub;bus;sub$;
nac;can;nac$;
lecnac;cancel;lecnac$;
pac;cap;pac$;
lorac;carol;lorac$;
pantac;catnap;pantac$;
livac;cavil;livac$;
