ADJ,,,,,;Afha---,Afhp---,Afd----,Afb----,Afz----
ADJ,,,,L_FEM,L_PLUR;Afha-fp,Afhp-fp,Afd--fp,Afb--fp,Afz--fp,Aoha-fp,Aohp-fp,Aod--fp,Aob--fp,Aoz--fp,Akha-fp,Akhp-fp,Akd--fp,Akba-fp,Akz--fp,Aiha-fp,Aihp-fp,Aiz--fp,Ashasfp,Ashapfp,Ashpsfp,Ashppfp,Asd-sfp,Asd-pfp,Asb-sfp,Asb-pfp,Asz-sfp,Asz-pfp
ADJ,,,,L_FEM,L_SING;Afha-fs,Afhp-fs,Afd--fs,Afb--fs,Afz--fs,Aoha-fs,Aohp-fs,Aod--fs,Aob--fs,Aoz--fs,Akha-fs,Akhp-fs,Akd--fs,Akba-fs,Akz--fs,Aiha-fs,Aihp-fs,Aiz--fs,Ashasfs,Ashapfs,Ashpsfs,Ashppfs,Asd-sfs,Asd-pfs,Asb-sfs,Asb-pfs,Asz-sfs,Asz-pfs
ADJ,,,,L_GEN_NEUTRE,L_NUM_NEUTRE;Ai---nn,As---nn,At---nn
ADJ,,,,L_MASC,L_PLUR;Afha-mp,Afhp-mp,Afd--mp,Afb--mp,Afz--mp,Aoha-mp,Aohp-mp,Aod--mp,Aob--mp,Aoz--mp,Akha-mp,Akhp-mp,Akd--mp,Akba-mp,Akz--mp,Aiha-mp,Aihp-mp,Aiz--mp,Ashasmp,Ashapmp,Ashpsmp,Ashppmp,Asd-smp,Asd-pmp,Asb-smp,Asb-pmp,Asz-smp,Asz-pmp
ADJ,,,,L_MASC,L_SING;Afha-ms,Afhp-ms,Afd--ms,Afb--ms,Afz--ms,Aoha-ms,Aohp-ms,Aod--ms,Aob--ms,Aoz--ms,Akha-ms,Akhp-ms,Akd--ms,Akba-ms,Akz--ms,Aiha-ms,Aihp-ms,Aiz--ms,Ashasms,Ashapms,Ashpsms,Ashppms,Asd-sms,Asd-pms,Asb-sms,Asb-pms,Asz-sms,Asz-pms
ADV,,,,,;Rg,Rs,Rn,Rm,Rc,Ra,Rp,Re,Rt,Rr,Rd
ADVWH,,,,,;Ri
CC,,,,,;Cc
CLO,,,L_1,L_FEM,L_PLUR;Ppcda1-fp,Ppcdp1-fp,Ppcia1-fp,Ppcip1-fp,Ppdda1-fp,Ppddp1-fp,Ppdia1-fp,Ppdip1-fp,Ps-d-1sfp,Ps-d-1pfp,Ps-i-1sfp,Ps-i-1pfp
CLO,,,L_1,L_FEM,L_SING;Ppcda1-fs,Ppcdp1-fs,Ppcia1-fs,Ppcip1-fs,Ppdda1-fs,Ppddp1-fs,Ppdia1-fs,Ppdip1-fs,Ps-d-1sfs,Ps-d-1pfs,Ps-i-1sfs,Ps-i-1pfs
CLO,,,L_1,L_MASC,L_PLUR;Ppcda1-mp,Ppcdp1-mp,Ppcia1-mp,Ppcip1-mp,Ppdda1-mp,Ppddp1-mp,Ppdia1-mp,Ppdip1-mp,Ps-d-1smp,Ps-d-1pmp,Ps-i-1smp,Ps-i-1pmp
CLO,,,L_1,L_MASC,L_SING;Ppcda1-ms,Ppcdp1-ms,Ppcia1-ms,Ppcip1-ms,Ppdda1-ms,Ppddp1-ms,Ppdia1-ms,Ppdip1-ms,Ps-d-1sms,Ps-d-1pms,Ps-i-1sms,Ps-i-1pms
CLO,,,L_2,L_FEM,L_PLUR;Ppcda2-fp,Ppcdp2-fp,Ppcia2-fp,Ppcip2-fp,Ppdda2-fp,Ppddp2-fp,Ppdia2-fp,Ppdip2-fp,Ps-d-2sfp,Ps-d-2pfp,Ps-i-2sfp,Ps-i-2pfp
CLO,,,L_2,L_FEM,L_SING;Ppcda2-fs,Ppcdp2-fs,Ppcia2-fs,Ppcip2-fs,Ppdda2-fs,Ppddp2-fs,Ppdia2-fs,Ppdip2-fs,Ps-d-2sfs,Ps-d-2pfs,Ps-i-2sfs,Ps-i-2pfs
CLO,,,L_2,L_MASC,L_PLUR;Ppcda2-mp,Ppcdp2-mp,Ppcia2-mp,Ppcip2-mp,Ppdda2-mp,Ppddp2-mp,Ppdia2-mp,Ppdip2-mp,Ps-d-2smp,Ps-d-2pmp,Ps-i-2smp,Ps-i-2pmp
CLO,,,L_2,L_MASC,L_SING;Ppcda2-ms,Ppcdp2-ms,Ppcia2-ms,Ppcip2-ms,Ppdda2-ms,Ppddp2-ms,Ppdia2-ms,Ppdip2-ms,Ps-d-2sms,Ps-d-2pms,Ps-i-2sms,Ps-i-2pms
CLO,,,L_3,L_FEM,L_PLUR;Ppcda3-fp,Ppcdp3-fp,Ppcia3-fp,Ppcip3-fp,Ppdda3-fp,Ppddp3-fp,Ppdia3-fp,Ppdip3-fp,Ps-d-3sfp,Ps-d-3pfp,Ps-i-3sfp,Ps-i-3pfp
CLO,,,L_3,L_FEM,L_SING;Ppcda3-fs,Ppcdp3-fs,Ppcia3-fs,Ppcip3-fs,Ppdda3-fs,Ppddp3-fs,Ppdia3-fs,Ppdip3-fs,Ps-d-3sfs,Ps-d-3pfs,Ps-i-3sfs,Ps-i-3pfs
CLO,,,L_3,L_MASC,L_PLUR;Ppcda3-mp,Ppcdp3-mp,Ppcia3-mp,Ppcip3-mp,Ppdda3-mp,Ppddp3-mp,Ppdia3-mp,Ppdip3-mp,Ps-d-3smp,Ps-d-3pmp,Ps-i-3smp,Ps-i-3pmp
CLO,,,L_3,L_MASC,L_SING;Ppcda3-ms,Ppcdp3-ms,Ppcia3-ms,Ppcip3-ms,Ppdda3-ms,Ppddp3-ms,Ppdia3-ms,Ppdip3-ms,Ps-d-3sms,Ps-d-3pms,Ps-i-3sms,Ps-i-3pms
CLR,,,L_1,L_FEM,L_PLUR;Px---1-fp
