NONE_1	L_NONE_1
1	L_1
2	L_2
3	L_3
ACC	L_ACC
ACT	L_ACT
ADJ	L_ADJ
ADV	L_ADV
AFFIX	L_AFFIX
COND_PASS	L_COND_PASS
COND_PRES	L_COND_PRES
CONJ	L_CONJ
DET	L_DET
DETERMINEUR	L_DETERMINEUR
DIVERS	L_DIVERS
DIVERS_DATE	L_DIVERS_DATE
DIVERS_PARTICULE	L_DIVERS_PARTICULE
DUEL	L_DUEL
FEM	L_FEM
FUTUR	L_FUTUR
FUTUR_ANT	L_FUTUR_ANT
GEN	L_GEN
IMP	L_IMP
IMPERS	L_IMPERS
IMPFT	L_IMPFT
INTERJ	L_INTERJ
INTRANS	L_INTRANS
MASC	L_MASC
NC	L_NC
NEUTRE	L_NEUTRE
NOM	L_NOM
NOMBRE	L_NOMBRE
NP	L_NP
NUMBER	L_NUMBER
PART	L_PART
PARTICULE	L_PARTICULE
PASS	L_PASS
PASS_ANT	L_PASS_ANT
PC	L_PC
PLUR	L_PLUR
PONCTU	L_PONCTU
PQPFT	L_PQPFT
PREP	L_PREP
PRES	L_PRES
PRETERIT	L_PRETERIT
PRON	L_PRON
PRONOMINAL	L_PRONOMINAL
SING	L_SING
SPECIFICATIF	L_SPECIFICATIF
SUK	L_SUK
TRANS	L_TRANS
V	L_V
NC1	L_GE_NOM_DANS_MOT_COMPOSE_POSITION_INITIALE
NC2	L_GE_NOM_DANS_MOT_COMPOSE_POSITION_INTERMEDIAIRE
NC3	L_GE_NOM_DANS_MOT_COMPOSE_POSITION_FINALE
Nad1	L_GE_ADJ_NOMINAL_SANS_DET_NOMINATIF
Nad2	L_GE_ADJ_NOMINAL_SANS_DET_GENITIF
Nad3	L_GE_ADJ_NOMINAL_SANS_DET_DATIF
Nad4	L_GE_ADJ_NOMINAL_SANS_DET_ACCUSATIF
Nag1	L_GE_ADJ_NOMINAL_GENERAL_NOMINATIF
Nag2	L_GE_ADJ_NOMINAL_GENERAL_GENITIF
Nag3	L_GE_ADJ_NOMINAL_GENERAL_DATIF
Nag4	L_GE_ADJ_NOMINAL_GENERAL_ACCUSATIF
Nan1	L_GE_ADJ_NOMINAL_COORDONNE_A_DET_NOM_NOMINATIF
Nan2	L_GE_ADJ_NOMINAL_COORDONNE_A_DET_NOM_GENITIF
Nan3	L_GE_ADJ_NOMINAL_COORDONNE_A_DET_NOM_DATIF
Nan4	L_GE_ADJ_NOMINAL_COORDONNE_A_DET_NOM_ACCUSATIF
Nap1	L_GE_ADJ_NOMINAL_APPOSITION_A_NC_NOMINATIF
Nap2	L_GE_ADJ_NOMINAL_APPOSITION_A_NC_GENITIF
Nap3	L_GE_ADJ_NOMINAL_APPOSITION_A_NC_DATIF
Nap4	L_GE_ADJ_NOMINAL_APPOSITION_A_NC_ACCUSATIF
Nca-	L_GE_NOM_COMMUN_APPELLATION_DE_NP
Ncc1	L_GE_NOM_COMMUN_CLASSIFICATEUR_DE_NP_NOMINATIF
Ncc2	L_GE_NOM_COMMUN_CLASSIFICATEUR_DE_NP_GENITIF
Ncc3	L_GE_NOM_COMMUN_CLASSIFICATEUR_DE_NP_DATIF
Ncc4	L_GE_NOM_COMMUN_CLASSIFICATEUR_DE_NP_ACCUSATIF
Ncd1	L_GE_NOM_COMMUN_SANS_DET_NOMINATIF
Ncd2	L_GE_NOM_COMMUN_SANS_DET_GENITIF
Ncd3	L_GE_NOM_COMMUN_SANS_DET_DATIF
Ncd4	L_GE_NOM_COMMUN_SANS_DET_ACCUSATIF
Ncg1	L_GE_NOM_COMMUN_GENERAL_NOMINATIF
Ncg2	L_GE_NOM_COMMUN_GENERAL_GENITIF
Ncg3	L_GE_NOM_COMMUN_GENERAL_DATIF
Ncg4	L_GE_NOM_COMMUN_GENERAL_ACCUSATIF
Ncge	L_GE_NOM_COMMUN_GENERAL_GENITIF_PRENOMINAL
Ncgo	L_GE_NOM_COMMUN_GENERAL_GENITIF_POSTNOMINAL
Nch1	L_GE_NOM_COMMUN_TRONQUE_GAUCHE_NOMINATIF
Nch2	L_GE_NOM_COMMUN_TRONQUE_GAUCHE_GENITIF
Nch3	L_GE_NOM_COMMUN_TRONQUE_GAUCHE_DATIF
Nch4	L_GE_NOM_COMMUN_TRONQUE_GAUCHE_ACCUSATIF
Ncj1	L_GE_NOM_COMMUN_JOUR_NOMINATIF
Ncj2	L_GE_NOM_COMMUN_JOUR_GENITIF
Ncj3	L_GE_NOM_COMMUN_JOUR_DATIF
Ncj4	L_GE_NOM_COMMUN_JOUR_ACCUSATIF
Ncm1	L_GE_NOM_COMMUN_MOIS_NOMINATIF
Ncm2	L_GE_NOM_COMMUN_MOIS_GENITIF
Ncm3	L_GE_NOM_COMMUN_MOIS_DATIF
Ncm4	L_GE_NOM_COMMUN_MOIS_ACCUSATIF
Ncn1	L_GE_NOM_COMMUN_COORDONNE_A_DET_NOM_NOMINATIF
Ncn2	L_GE_NOM_COMMUN_COORDONNE_A_DET_NOM_GENITIF
Ncn3	L_GE_NOM_COMMUN_COORDONNE_A_DET_NOM_DATIF
Ncn4	L_GE_NOM_COMMUN_COORDONNE_A_DET_NOM_ACCUSATIF
Ncp1	L_GE_NOM_COMMUN_APPOSITION_A_NC_NOMINATIF
Ncp2	L_GE_NOM_COMMUN_APPOSITION_A_NC_GENITIF
Ncp3	L_GE_NOM_COMMUN_APPOSITION_A_NC_DATIF
Ncp4	L_GE_NOM_COMMUN_APPOSITION_A_NC_ACCUSATIF
Ncr-	L_GE_NOM_COMMUN_TRONQUE_DROITE
Ncu1	L_GE_NOM_COMMUN_UNITE_DE_MESURE_NOMINATIF
Ncu2	L_GE_NOM_COMMUN_UNITE_DE_MESURE_GENITIF
Ncu3	L_GE_NOM_COMMUN_UNITE_DE_MESURE_DATIF
Ncu4	L_GE_NOM_COMMUN_UNITE_DE_MESURE_ACCUSATIF
Nid1	L_GE_INF_NOMINAL_SANS_DET_NOMINATIF
